OBJECTID,precinct_id,num_blocks,total_population,hispanic_or_latino,NeighRep,SupDist,DISTRICT,CongDist,BARTDist,white,two_or_more_races,one_race_total,AssemDist,PREC_2010,native_hawaiian_and_other_pacif,PREC_2012,asian,total_population_not_hispanic_o,black_or_african_american,american_indian_and_alaska_nati,some_other_race
435,9208,8,1433.000000000000000,75.000000000000000,MAR/PAC HTS,2,02,12,8,1218.000000000000000,39.000000000000000,1394.000000000000000,19,3208,1.000000000000000,9208,152.000000000000000,1358.000000000000000,10.000000000000000,1.000000000000000,12.000000000000000
436,9209,8,1111.000000000000000,57.000000000000000,MAR/PAC HTS,2,02,12,8,952.000000000000000,19.000000000000000,1092.000000000000000,19,9205,0.000000000000000,9209,122.000000000000000,1054.000000000000000,11.000000000000000,0.000000000000000,7.000000000000000
437,9211,8,1244.000000000000000,82.000000000000000,MAR/PAC HTS,2,02,12,8,1048.000000000000000,31.000000000000000,1213.000000000000000,19,3213,2.000000000000000,9211,114.000000000000000,1162.000000000000000,22.000000000000000,2.000000000000000,25.000000000000000
438,9212,6,968.000000000000000,61.000000000000000,MAR/PAC HTS,2,02,12,8,752.000000000000000,48.000000000000000,920.000000000000000,19,3209,2.000000000000000,9212,132.000000000000000,907.000000000000000,15.000000000000000,0.000000000000000,19.000000000000000
439,9213,6,1293.000000000000000,82.000000000000000,MAR/PAC HTS,2,02,12,8,1073.000000000000000,36.000000000000000,1257.000000000000000,19,3212,1.000000000000000,9213,163.000000000000000,1211.000000000000000,10.000000000000000,4.000000000000000,6.000000000000000
440,9214,12,824.000000000000000,49.000000000000000,MAR/PAC HTS,2,02,12,8,695.000000000000000,30.000000000000000,794.000000000000000,19,3214,1.000000000000000,9214,86.000000000000000,775.000000000000000,3.000000000000000,2.000000000000000,7.000000000000000
441,9215,9,876.000000000000000,34.000000000000000,MAR/PAC HTS,2,02,12,8,761.000000000000000,23.000000000000000,853.000000000000000,19,3215,0.000000000000000,9215,73.000000000000000,842.000000000000000,9.000000000000000,0.000000000000000,10.000000000000000
442,9216,12,1031.000000000000000,36.000000000000000,MAR/PAC HTS,2,02,12,8,908.000000000000000,22.000000000000000,1009.000000000000000,19,3216,1.000000000000000,9216,87.000000000000000,995.000000000000000,4.000000000000000,1.000000000000000,8.000000000000000
443,9217,14,992.000000000000000,72.000000000000000,MAR/PAC HTS,2,02,12,8,789.000000000000000,40.000000000000000,952.000000000000000,19,3217,0.000000000000000,9217,146.000000000000000,920.000000000000000,6.000000000000000,2.000000000000000,9.000000000000000
444,9218,9,1199.000000000000000,87.000000000000000,MAR/PAC HTS,2,02,12,8,964.000000000000000,45.000000000000000,1154.000000000000000,19,3218,1.000000000000000,9218,154.000000000000000,1112.000000000000000,16.000000000000000,0.000000000000000,19.000000000000000
445,9219,8,1146.000000000000000,78.000000000000000,MAR/PAC HTS,2,02,12,8,890.000000000000000,50.000000000000000,1096.000000000000000,19,3219,1.000000000000000,9219,174.000000000000000,1068.000000000000000,12.000000000000000,1.000000000000000,18.000000000000000
446,9221,12,890.000000000000000,39.000000000000000,MAR/PAC HTS,2,02,12,8,796.000000000000000,22.000000000000000,868.000000000000000,19,3223,1.000000000000000,9221,50.000000000000000,851.000000000000000,8.000000000000000,0.000000000000000,13.000000000000000
447,9222,12,1199.000000000000000,45.000000000000000,MAR/PAC HTS,2,02,12,8,1060.000000000000000,32.000000000000000,1167.000000000000000,19,3224,1.000000000000000,9222,90.000000000000000,1154.000000000000000,10.000000000000000,0.000000000000000,6.000000000000000
448,9223,7,870.000000000000000,31.000000000000000,MAR/PAC HTS,2,02,12,8,746.000000000000000,23.000000000000000,847.000000000000000,19,3225,0.000000000000000,9223,77.000000000000000,839.000000000000000,6.000000000000000,1.000000000000000,17.000000000000000
449,9224,6,1413.000000000000000,77.000000000000000,MAR/PAC HTS,2,02,12,8,1177.000000000000000,44.000000000000000,1369.000000000000000,19,3226,1.000000000000000,9224,169.000000000000000,1336.000000000000000,9.000000000000000,4.000000000000000,9.000000000000000
450,9225,9,1292.000000000000000,73.000000000000000,MAR/PAC HTS,2,02,12,8,1035.000000000000000,37.000000000000000,1255.000000000000000,19,3228,0.000000000000000,9225,195.000000000000000,1219.000000000000000,13.000000000000000,3.000000000000000,9.000000000000000
451,9226,6,1262.000000000000000,101.000000000000000,MAR/PAC HTS,2,02,12,8,1050.000000000000000,37.000000000000000,1225.000000000000000,19,3227,1.000000000000000,9226,123.000000000000000,1161.000000000000000,19.000000000000000,6.000000000000000,26.000000000000000
452,9227,11,1113.000000000000000,46.000000000000000,SECLF/PREHTS,2,02,12,8,748.000000000000000,46.000000000000000,1067.000000000000000,19,2202,0.000000000000000,9227,290.000000000000000,1067.000000000000000,9.000000000000000,1.000000000000000,19.000000000000000
453,9228,15,1000.000000000000000,30.000000000000000,SECLF/PREHTS,2,02,12,8,726.000000000000000,47.000000000000000,953.000000000000000,19,2200,1.000000000000000,9228,213.000000000000000,970.000000000000000,11.000000000000000,1.000000000000000,1.000000000000000
454,9229,14,581.000000000000000,25.000000000000000,SECLF/PREHTS,2,02,12,8,463.000000000000000,12.000000000000000,569.000000000000000,19,2201,0.000000000000000,9229,92.000000000000000,556.000000000000000,5.000000000000000,1.000000000000000,8.000000000000000
455,9231,9,1262.000000000000000,95.000000000000000,SECLF/PREHTS,2,02,12,8,928.000000000000000,54.000000000000000,1208.000000000000000,19,2203,0.000000000000000,9231,225.000000000000000,1167.000000000000000,20.000000000000000,2.000000000000000,33.000000000000000
456,9232,7,964.000000000000000,49.000000000000000,SECLF/PREHTS,2,02,12,8,760.000000000000000,28.000000000000000,936.000000000000000,19,2205,2.000000000000000,9232,151.000000000000000,915.000000000000000,18.000000000000000,0.000000000000000,5.000000000000000
457,9233,14,1147.000000000000000,45.000000000000000,SECLF/PREHTS,2,02,12,8,970.000000000000000,28.000000000000000,1119.000000000000000,19,2206,0.000000000000000,9233,116.000000000000000,1102.000000000000000,17.000000000000000,7.000000000000000,9.000000000000000
458,9234,9,1021.000000000000000,60.000000000000000,SECLF/PREHTS,2,02,12,8,865.000000000000000,39.000000000000000,982.000000000000000,19,2207,1.000000000000000,9234,87.000000000000000,961.000000000000000,18.000000000000000,1.000000000000000,10.000000000000000
459,9235,11,1147.000000000000000,65.000000000000000,SECLF/PREHTS,2,02,12,8,1013.000000000000000,39.000000000000000,1108.000000000000000,19,2208,0.000000000000000,9235,77.000000000000000,1082.000000000000000,11.000000000000000,1.000000000000000,6.000000000000000
460,9236,6,950.000000000000000,29.000000000000000,MAR/PAC HTS,2,02,12,8,818.000000000000000,28.000000000000000,922.000000000000000,19,2209,0.000000000000000,9236,94.000000000000000,921.000000000000000,4.000000000000000,0.000000000000000,6.000000000000000
461,9237,11,1250.000000000000000,42.000000000000000,MAR/PAC HTS,2,02,12,8,1064.000000000000000,47.000000000000000,1203.000000000000000,19,3231,3.000000000000000,9237,114.000000000000000,1208.000000000000000,8.000000000000000,1.000000000000000,13.000000000000000
462,9238,7,1108.000000000000000,51.000000000000000,MAR/PAC HTS,2,02,12,8,924.000000000000000,38.000000000000000,1070.000000000000000,19,3232,2.000000000000000,9238,126.000000000000000,1057.000000000000000,8.000000000000000,0.000000000000000,10.000000000000000
463,9239,6,1188.000000000000000,45.000000000000000,MAR/PAC HTS,2,02,12,8,1001.000000000000000,35.000000000000000,1153.000000000000000,19,3233,0.000000000000000,9239,132.000000000000000,1143.000000000000000,12.000000000000000,1.000000000000000,7.000000000000000
464,9241,6,1346.000000000000000,93.000000000000000,MAR/PAC HTS,2,02,12,8,1067.000000000000000,56.000000000000000,1290.000000000000000,19,3234,0.000000000000000,9241,177.000000000000000,1253.000000000000000,18.000000000000000,4.000000000000000,24.000000000000000
465,9242,4,1318.000000000000000,73.000000000000000,MAR/PAC HTS,2,02,12,8,943.000000000000000,61.000000000000000,1257.000000000000000,19,3239,3.000000000000000,9242,280.000000000000000,1245.000000000000000,17.000000000000000,0.000000000000000,14.000000000000000
466,9243,5,812.000000000000000,42.000000000000000,MAR/PAC HTS,2,02,12,8,645.000000000000000,39.000000000000000,773.000000000000000,19,2215,0.000000000000000,9243,104.000000000000000,770.000000000000000,12.000000000000000,0.000000000000000,12.000000000000000
467,9244,9,1238.000000000000000,85.000000000000000,MAR/PAC HTS,2,02,12,8,1000.000000000000000,44.000000000000000,1194.000000000000000,19,3235,5.000000000000000,9244,136.000000000000000,1153.000000000000000,37.000000000000000,2.000000000000000,14.000000000000000
468,9245,7,1002.000000000000000,62.000000000000000,MAR/PAC HTS,2,02,12,8,771.000000000000000,32.000000000000000,970.000000000000000,19,3236,1.000000000000000,9245,142.000000000000000,940.000000000000000,44.000000000000000,2.000000000000000,10.000000000000000
469,9246,7,1252.000000000000000,72.000000000000000,MAR/PAC HTS,2,02,12,8,1003.000000000000000,51.000000000000000,1201.000000000000000,19,3237,2.000000000000000,9246,152.000000000000000,1180.000000000000000,26.000000000000000,1.000000000000000,17.000000000000000
470,9247,5,1313.000000000000000,90.000000000000000,MAR/PAC HTS,2,02,12,8,1019.000000000000000,54.000000000000000,1259.000000000000000,19,3238,1.000000000000000,9247,211.000000000000000,1223.000000000000000,12.000000000000000,4.000000000000000,12.000000000000000
471,9248,4,1202.000000000000000,67.000000000000000,MAR/PAC HTS,2,02,12,8,946.000000000000000,55.000000000000000,1147.000000000000000,19,3241,4.000000000000000,9248,144.000000000000000,1135.000000000000000,33.000000000000000,0.000000000000000,20.000000000000000
472,9249,6,1191.000000000000000,61.000000000000000,LRL HTS/ANZA,2,02,12,8,890.000000000000000,43.000000000000000,1148.000000000000000,19,2211,2.000000000000000,9249,219.000000000000000,1130.000000000000000,18.000000000000000,0.000000000000000,19.000000000000000
473,9251,8,1276.000000000000000,70.000000000000000,LRL HTS/ANZA,2,02,12,8,912.000000000000000,51.000000000000000,1225.000000000000000,19,2212,6.000000000000000,9251,269.000000000000000,1206.000000000000000,15.000000000000000,0.000000000000000,23.000000000000000
474,9252,8,1281.000000000000000,74.000000000000000,LRL HTS/ANZA,2,02,12,8,737.000000000000000,48.000000000000000,1233.000000000000000,19,2213,1.000000000000000,9252,458.000000000000000,1207.000000000000000,17.000000000000000,1.000000000000000,19.000000000000000
475,9253,8,1200.000000000000000,75.000000000000000,LRL HTS/ANZA,2,02,12,8,893.000000000000000,42.000000000000000,1158.000000000000000,19,2214,1.000000000000000,9253,178.000000000000000,1125.000000000000000,63.000000000000000,2.000000000000000,21.000000000000000
476,9254,10,1301.000000000000000,77.000000000000000,WST ADDITION,2,02,12,9,918.000000000000000,48.000000000000000,1253.000000000000000,19,2216,1.000000000000000,9254,236.000000000000000,1224.000000000000000,81.000000000000000,7.000000000000000,10.000000000000000
477,9255,6,796.000000000000000,69.000000000000000,LRL HTS/ANZA,2,02,12,8,570.000000000000000,34.000000000000000,762.000000000000000,19,2217,5.000000000000000,9255,120.000000000000000,727.000000000000000,46.000000000000000,3.000000000000000,18.000000000000000
478,9256,6,535.000000000000000,47.000000000000000,WST ADDITION,2,02,12,9,401.000000000000000,33.000000000000000,502.000000000000000,19,3501,0.000000000000000,9256,62.000000000000000,488.000000000000000,26.000000000000000,5.000000000000000,8.000000000000000
479,9257,6,432.000000000000000,28.000000000000000,WST ADDITION,2,02,12,9,274.000000000000000,14.000000000000000,418.000000000000000,19,2219,0.000000000000000,9257,104.000000000000000,404.000000000000000,25.000000000000000,1.000000000000000,14.000000000000000
