precinctid,phil_ting,under_vote,precincts,carlos_chuck_taylor,ballots_cast,over_vote,registration
9202,528,129,1,149,806,0,962
9203,440,174,1,243,857,0,1006
9204,415,118,1,200,733,0,849
9205,373,133,1,146,652,0,760
9206,457,140,1,225,822,0,960
9207,438,184,1,222,845,1,980
9208,501,175,1,221,897,0,1028
9209,342,139,1,165,646,0,750
9211,420,167,1,191,778,0,910
9212,429,147,1,168,746,2,857
9213,503,166,1,184,853,0,987
9214,312,93,1,134,539,0,632
9215,317,100,1,149,566,0,645
9216,395,148,1,183,726,0,861
9217,362,143,1,157,662,0,761
9218,412,161,1,157,730,0,868
9219,443,152,1,124,719,0,829
9221,351,120,1,166,637,0,662
9222,474,159,1,178,811,0,889
9223,336,103,1,133,573,1,664
9224,519,147,1,196,863,1,993
9225,542,195,1,189,926,0,994
9226,486,167,1,180,833,0,960
9227,438,89,1,138,665,0,759
9228,402,98,1,151,651,0,725
9229,391,76,1,88,555,0,615
9231,631,145,1,93,869,0,1006
9232,456,127,1,112,695,0,746
9233,452,137,1,146,736,1,816
9234,410,112,1,142,664,0,759
9235,474,145,1,198,818,1,907
9236,398,102,1,100,600,0,682
9237,513,148,1,163,824,0,941
9238,483,136,1,190,809,0,846
9239,513,146,1,179,838,0,885
9241,562,159,1,173,894,0,1027
9242,564,158,1,162,885,1,1023
9243,372,91,1,92,555,0,611
9244,537,166,1,121,824,0,940
9245,433,99,1,95,627,0,725
9246,548,160,1,134,842,0,964
9247,578,169,1,138,885,0,1004
9248,551,169,1,126,846,0,955
9249,555,131,1,121,807,0,926
9251,592,149,1,129,871,1,982
9252,562,123,1,151,837,1,943
9253,458,129,1,122,709,0,808
9254,598,165,1,108,871,0,951
9255,328,122,1,68,518,0,577
9256,237,64,1,41,342,0,403
9257,206,52,1,29,287,0,339
9258,474,87,1,84,645,0,715
9401,580,127,1,106,815,2,1014
9402,594,130,1,92,816,0,1028
9403,531,109,1,99,739,0,933
9404,551,102,1,91,744,0,921
9405,473,94,1,132,699,0,818
9406,544,134,1,112,791,1,916
9407,509,122,1,97,728,0,941
9408,511,118,1,75,704,0,879
9409,365,100,1,59,524,0,626
9411,610,123,1,106,840,1,1051
9412,478,131,1,94,703,0,885
9413,511,125,1,106,742,0,907
9414,527,130,1,83,740,0,894
9415,431,107,1,99,637,0,798
9416,572,120,1,113,806,1,1018
