precinctid,victor_hwang,under_vote,precincts,ballots_cast,over_vote,registration,paul_henderson
9407,424,137,1,728,0,941,167
9408,405,152,1,704,0,879,147
9409,308,105,1,524,0,626,111
9411,443,171,1,840,1,1051,225
9412,377,131,1,703,2,885,193
9413,382,164,1,742,0,907,196
9414,392,143,1,740,0,894,205
9415,334,135,1,637,0,798,168
9416,454,136,1,806,2,1018,214
9417,307,135,1,604,1,759,161
9418,324,140,1,642,1,814,177
9419,352,154,1,708,2,902,200
9421,402,161,1,732,0,929,169
9422,476,179,1,887,1,1082,231
9423,383,147,1,718,0,909,188
9424,451,112,1,756,0,951,193
9425,400,143,1,748,0,964,205
9426,373,133,1,663,0,835,157
9427,414,135,1,733,0,963,184
9428,417,138,1,754,0,963,199
9429,409,133,1,707,1,909,164
9431,426,163,1,821,0,1024,232
9432,386,157,1,718,0,913,175
9433,404,148,1,759,1,973,206
9434,441,140,1,803,1,997,221
9435,391,154,1,765,0,969,220
9436,408,166,1,783,0,994,209
9437,377,125,1,713,0,954,211
9438,424,151,1,791,0,1000,216
9439,367,144,1,690,0,903,179
9441,460,122,1,800,1,1004,217
9442,432,162,1,809,3,1027,212
9443,390,135,1,748,0,937,223
9444,364,152,1,720,0,955,204
9445,401,147,1,751,1,993,202
9446,477,177,1,912,0,1084,258
9447,421,137,1,761,0,954,203
9448,383,147,1,728,1,950,197
9449,348,120,1,639,1,820,170
9451,176,68,1,370,0,438,126
9452,335,153,1,701,1,829,212
9453,200,87,1,415,0,502,128
9501,56,29,1,131,0,153,46
9502,115,35,1,209,0,233,59
9503,357,145,1,674,1,822,171
9505,296,132,1,617,3,804,186
9506,349,93,1,602,0,810,160
9507,371,105,1,638,0,783,162
9508,429,136,1,720,0,862,155
9509,364,145,1,661,3,758,149
9511,300,110,1,529,0,630,119
9512,427,122,1,709,1,848,159
9513,424,136,1,766,1,952,205
9514,491,159,1,832,0,959,182
9515,368,127,1,646,0,748,151
9516,424,151,1,763,1,922,187
9517,451,143,1,713,0,854,119
9518,436,124,1,707,0,826,147
9519,449,158,1,790,0,922,183
9521,479,154,1,827,0,947,194
9701,344,123,1,571,1,664,103
9702,357,137,1,640,0,760,146
9703,459,128,1,818,0,989,231
9704,490,161,1,836,0,971,185
9705,519,163,1,836,1,954,153
9706,31,9,1,54,0,54,14
9707,376,98,1,679,1,805,204
9708,495,168,1,829,1,956,165
9709,447,147,1,848,1,1029,253
9711,304,103,1,572,0,643,165
9712,296,101,1,593,2,656,194
9713,427,136,1,782,1,974,218
9714,396,149,1,825,2,941,278
9715,225,108,1,521,2,580,186
9716,402,159,1,791,3,975,227
9717,407,154,1,837,1,993,275
9718,384,116,1,755,0,859,255
9719,344,135,1,755,0,880,276
9721,246,102,1,575,1,657,226
9722,253,111,1,543,0,634,179
9723,195,68,1,396,0,478,133
9724,423,151,1,824,0,978,250
9725,393,131,1,783,0,985,259
9726,338,127,1,606,1,782,140
9727,179,68,1,396,0,454,149
9728,380,132,1,805,0,937,293
9729,300,119,1,708,0,802,289
9731,199,92,1,485,0,548,194
9732,37,11,1,71,0,76,23
9733,111,36,1,204,0,221,57
9734,247,84,1,535,0,603,204
9735,339,124,1,699,2,807,234
9736,299,114,1,651,0,729,238
9737,386,124,1,715,3,782,202
9738,313,139,1,680,0,850,228
9739,382,126,1,681,2,912,171
9741,363,183,1,679,0,1064,133
9742,289,99,1,530,0,669,142
9743,477,166,1,907,1,1159,263
9744,407,159,1,763,1,968,196
9745,433,138,1,762,0,1052,191
9746,370,155,1,783,3,903,255
9747,449,136,1,797,0,989,212
9748,445,147,1,809,1,981,216
9749,391,118,1,686,1,969,176
9751,446,185,1,908,1,1011,276
9752,291,116,1,626,0,721,219
9753,333,85,1,636,0,777,218
9754,372,102,1,648,0,744,174
9755,267,86,1,492,0,605,139
9756,442,143,1,784,1,980,198
9801,167,68,1,339,0,434,104
9900,0,0,1,0,0,0,0
9901,0,0,1,0,0,0,0
9902,0,0,1,0,0,0,0
