precinctid,precincts,under_vote,david_chiu,ballots_cast,over_vote,registration,matthew_del_carlo
7871,1,100,656,804,0,909,48
7872,1,103,638,819,0,902,78
7873,1,114,617,788,0,874,57
7874,1,69,313,408,0,482,26
7875,1,85,371,525,1,628,68
7901,1,194,672,952,1,1286,85
7902,1,151,617,842,0,1064,74
7903,1,124,456,652,1,929,71
7904,1,121,501,694,1,926,71
7905,1,112,533,718,0,851,73
7906,1,106,503,653,0,854,44
7907,1,162,622,834,0,991,50
7908,1,160,619,872,0,1008,93
7909,1,113,492,644,0,787,39
7911,1,123,527,734,0,907,84
7912,1,174,621,874,1,1090,78
7913,1,140,580,800,0,964,80
7914,1,147,548,752,1,895,56
7915,1,130,516,716,0,892,70
7916,1,130,573,768,0,953,65
7917,1,196,593,868,1,1073,78
7918,1,127,510,697,1,860,59
7919,1,155,553,767,0,928,59
7921,1,107,496,694,0,970,91
7922,1,125,519,705,0,884,61
7923,1,117,509,689,1,930,62
7924,1,122,498,696,0,883,76
7925,1,82,351,483,1,591,49
7926,1,110,532,695,0,820,53
7927,1,125,512,688,0,782,51
7928,1,140,645,849,0,976,64
7929,1,108,615,780,0,871,57
7931,1,96,554,687,0,765,37
7932,1,73,374,482,0,557,35
7933,1,1,5,7,0,8,1
7934,1,136,580,772,3,888,53
7935,1,123,667,851,0,949,61
7936,1,117,584,764,0,876,63
7937,1,142,584,780,0,909,54
7938,1,131,448,636,1,808,56
7939,1,106,452,593,0,674,35
7941,1,114,485,655,0,790,56
7942,1,166,526,769,2,950,75
7943,1,115,571,780,0,938,94
7944,1,114,503,692,0,830,75
7945,1,109,470,663,0,926,84
7946,1,118,479,716,0,976,119
7947,1,139,457,717,0,964,121
7948,1,124,479,721,1,933,117
7949,1,76,283,433,0,594,74
7951,1,106,435,645,1,841,103
7952,1,112,432,651,0,865,107
7953,1,104,462,677,0,853,111
7954,1,0,0,0,0,0,0
7955,1,108,479,684,1,899,96
7956,1,104,382,579,1,779,92
7957,1,86,372,524,0,664,66
7958,1,26,143,199,0,291,30
9900,1,0,0,0,0,0,0
9901,1,0,0,0,0,0,0
9902,1,0,0,0,0,0,0
